id,created_at,Growth Area,category,title,description,challenge_id_text
53ea3174-e700-4268-af17-a34ac68beb37,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0001
d4e9dd47-dcbf-4715-9cd8-280c6192cb11,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0002
bcaeab04-68ab-4670-b267-607cc8edea83,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0003
31c4f97e-e3e2-4824-8d06-c93b3a3d05e1,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0004
2ba2cc23-c81b-4118-a919-cd9be514521d,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0005
7714ab2c-6778-4bb0-888d-e1a8c9b1714a,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0006
65356fac-6bf6-4022-b551-5580bc452120,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0007
407ff215-3b20-4c89-aa05-da97c806c5ce,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0008
e9cf977f-330c-47b6-9a42-64d7475449a9,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0009
236e8ee6-ae5e-4f4f-b0fd-248352b21bca,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0010
1a6e722b-2f29-46b4-a682-01d212a2bfeb,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0011
bd427de6-e809-4cf5-8751-4cef621a6160,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0012
b7232c34-00bb-4cad-ab4f-8ec315d007ab,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0013
bffeb186-0237-4bb3-9936-34ae09979e41,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0014
eeee7696-3955-4443-b1ab-96127fd69cb5,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0015
9e076d83-6dc1-4f0a-906a-7bc9e15c66a5,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0016
2fcde187-ee93-454e-8f53-fb82499aa50b,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0017
529592d0-0001-451e-b88e-de6a40da00f9,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0018
ac59e184-7f40-40fc-8bb3-ce366c13cd85,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0019
96904418-a0ab-4608-a06d-f8f4483d9d5d,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0020
6fa56d65-6d5d-4470-a2d1-fa19f4ad0117,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0021
381cbc4d-a30b-4e22-ae1d-6eeb31cda18e,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0022
3de2c393-5e5c-453f-b672-be5e8b62d79c,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0023
0606522b-b118-4eac-8197-11700037f13b,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0024
beacf064-b419-4230-ba85-b25601155bec,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0025
b85787ac-e8fb-4f92-9b98-7b2690d22fc7,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0026
ac980e37-e29e-45e7-b5b5-fbe7a0c16097,2025-07-22T08:53:28.265343,Mindfulness,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0027
